"","C24","CCA1-OX","COL","LER","PIF4OX","PIF5OXL1","PIF5OXL2","WS","elf3","elf4","hy2-103","hy5-1","pif4","pif4pif5","pif5s1","toc1-2"
"4540",0.000246886298686131,0.000313728054565345,0.000151489497465547,0.000484038374602848,0.00103079920490817,0.00116191469533049,0.00124563553074373,0.000463491648243955,0.000624702437122526,0.000132891317070042,0.000872909879042229,0.000556807728003693,0.000115638934733464,-2.21649589414478e-09,-1.7083118680957e-06,4.16558399631743e-05
"4550",0.000259299628109976,0.00032233813044254,0.000143947378505907,0.000468156523899512,0.00103646565889607,0.00112391619490566,0.00114354474236449,0.000445399509711802,0.000616724440160109,0.000118654095189403,0.000860480201903894,0.000577580010316539,0.000117685426676443,-4.69540745787152e-09,-1.90753112509716e-06,1.64467963224472e-05
"4560",0.000268335711163670,0.000328315516994560,0.000137060204171702,0.000450691391617887,0.00104298693543764,0.00108026019620831,0.00103330637887385,0.000425808733704055,0.000612032414565054,0.000105357341538508,0.00084274976131514,0.000598044258957231,0.000119007183364693,-6.97736432123342e-09,-2.08916720843115e-06,-3.87625347495447e-06
"4570",0.000271773002734429,0.000330869321475358,0.000130703062525770,0.000430747794207016,0.00105113384822201,0.00103120837433640,0.000919850241885217,0.000404650694963932,0.000609595891390791,9.3181337523064e-05,0.000819668725467769,0.000618395903136598,0.000119541552673366,-9.12993936380113e-09,-2.24548155925432e-06,-2.00787671316738e-05
"4580",0.000269656545226317,0.000328998219346448,0.000124844197814414,0.000407841841110667,0.00106098105888917,0.000975760967965032,0.000807101265502038,0.00038264135616666,0.000608093155278776,8.21712465821414e-05,0.000791456321046465,0.000637821482990314,0.000119186986322738,-1.12148348331737e-08,-2.36147552699096e-06,-3.29068824475397e-05
"4590",0.000262774481585456,0.000321745303020016,0.000119465249772383,0.000381735456176123,0.00107105478993226,0.000912508375439212,0.000698048135145347,0.000360577499064381,0.000606325569810167,7.23641119457979e-05,0.000758801717825135,0.0006547680582478,0.000117426369047737,NA,-2.4190086937148e-06,-4.31024174770202e-05
"4600",0.000252041660557687,0.000308380964897376,0.000114431116894459,0.000353209168813945,0.00107931637241065,0.000841002410983203,0.000595588447980554,0.000338950231767547,0.000603061482629517,6.36757980345553e-05,0.00072303364084166,0.000668064719882728,0.000113555515264105,NA,-2.39877310624466e-06,-5.13672980214809e-05
"4610",0.000238661767278771,0.000289663240113945,0.000109626500689728,0.000324307606626094,0.00108403316070508,0.000763843592829318,0.000501243903502396,0.000318069503891291,0.000597879666932844,5.57514695240518e-05,0.000685983928648013,0.000677453780511199,0.000107011656930658,NA,-2.27319381637211e-06,-5.82397232460223e-05
"4620",0.000223858195499948,0.00026718290256045,0.000105069783436045,0.000296908309851241,0.00108376127174645,0.000685239617416032,0.000414684843853133,0.000298185962376736,0.000590892390266867,4.82072344212016e-05,0.000648978414803002,0.000683108056900733,9.82051046857727e-05,NA,-2.01107048525370e-06,-6.4215011085262e-05
"4630",0.000128802272138074,0.000334993618776494,8.85359767020913e-05,0.000272362215257625,0.00107719978545528,0.000609220162478447,0.000335420592309578,0.000304735188287035,0.000623420319061604,9.52866125334423e-05,0.000613291324461229,0.000685208427631088,8.79815678100091e-05,NA,-1.58027059487011e-06,-6.07461891130343e-05
